ICDD 00-42-0024

No.	h	k	l	d [Å]	2θ [°]	I [%]
1	-1	0	1	11.14870	7.924	37.0
2	0	1	1	11.13470	7.934	100.0
3	1	0	1	11.03750	8.004	32.0
4	0	2	0	10.04840	8.793	48.0
5	2	0	0	9.93568	8.893	52.0
6	-1	1	1	9.74983	9.063	14.0
7	1	1	1	9.67531	9.133	14.0
8	1	2	0	8.97036	9.852	1.0
9	0	2	1	8.03585	11.001	1.0
10	-2	1	1	7.44925	11.871	1.0
11	2	1	1	7.37503	11.991	1.0
12	0	0	2	6.68195	13.240	7.0
13	0	1	2	6.34366	13.949	11.0
14	-1	1	2	6.06286	14.599	1.0
15	0	3	1	5.98948	14.778	14.0
16	-3	0	1	5.96541	14.838	3.0
17	3	0	1	5.91001	14.978	5.0
18	-3	1	1	5.71668	15.488	5.0
19	3	1	1	5.66943	15.618	5.0
20	-2	0	2	5.57724	15.878	2.0
21	0	2	2	5.56680	15.908	6.0
22	3	2	0	5.53228	16.007	1.0
23	2	0	2	5.51517	16.057	1.0
24	-2	1	2	5.37240	16.487	2.0
25	2	1	2	5.32117	16.647	2.0
26	-2	3	1	5.14343	17.226	1.0
27	2	3	1	5.11985	17.306	1.0
28	0	4	0	5.02769	17.626	4.0
29	4	0	0	4.96901	17.836	5.0
30	1	4	0	4.87424	18.186	1.0
31	0	4	1	4.70513	18.845	1.0
32	-1	3	2	4.61305	19.225	2.0
33	1	3	2	4.59413	19.305	2.0
34	-1	0	3	4.35963	20.354	2.0
35	0	1	3	4.35117	20.394	2.0
36	1	0	3	4.33646	20.464	1.0
37	-3	2	2	4.28268	20.724	1.0
38	-2	4	1	4.25831	20.844	3.0
39	2	4	1	4.24624	20.903	3.0
40	3	2	2	4.24223	20.923	1.0
41	0	2	3	4.07309	21.803	2.0
42	3	4	0	4.00422	22.182	3.0
43	0	5	1	3.85021	23.082	45.0
44	3	3	2	3.83547	23.172	1.0
45	-5	0	1	3.82246	23.252	16.0
46	5	0	1	3.79832	23.401	18.0
47	-5	1	1	3.75564	23.671	8.0
48	5	1	1	3.73235	23.821	11.0
49	-3	0	3	3.71698	23.921	1.0
50	0	3	3	3.71087	23.961	23.0
51	5	2	0	3.69720	24.051	1.0
52	3	0	3	3.67763	24.181	2.0
53	-3	1	3	3.65532	24.331	8.0
54	3	1	3	3.61728	24.591	8.0
55	-2	5	1	3.59428	24.750	1.0
56	2	5	1	3.58715	24.800	1.0
57	-2	3	3	3.48764	25.520	2.0
58	2	3	3	3.46496	25.690	1.0
59	3	2	3	3.45308	25.780	1.0
60	-3	4	2	3.44651	25.830	3.0
61	3	4	2	3.42438	25.999	4.0
62	-1	5	2	3.39871	26.199	1.0
63	5	1	2	3.35225	26.569	1.0
64	0	6	0	3.35101	26.579	3.0
65	6	0	0	3.31311	26.889	3.0
66	0	1	4	3.29628	27.029	5.0
67	-1	1	4	3.25846	27.348	1.0
68	-5	2	2	3.25031	27.418	2.0
69	0	6	1	3.25031	27.418	2.0
70	5	2	2	3.22039	27.678	1.0
71	0	2	4	3.17103	28.118	1.0
72	-2	1	4	3.13934	28.407	1.0
73	-5	3	2	3.05624	29.197	3.0
74	5	3	2	3.03188	29.437	3.0
75	3	6	0	2.99022	29.856	1.0
76	0	5	3	2.98534	29.906	7.0
77	-5	0	3	2.98339	29.926	4.0
78	-1	3	4	2.96213	30.146	1.0
79	-5	1	3	2.95162	30.256	3.0
80	5	0	3	2.94972	30.276	2.0
81	5	1	3	2.91776	30.616	1.0
82	-2	5	3	2.86486	31.195	1.0
83	2	5	3	2.85328	31.325	1.0
84	-5	4	2	2.83565	31.525	1.0
85	-7	0	1	2.78408	32.124	1.0
86	-3	6	2	2.73525	32.714	2.0
87	3	6	2	2.72392	32.854	1.0
88	0	6	3	2.67802	33.433	1.0
89	-1	0	5	2.65338	33.753	1.0
90	-5	5	2	2.61138	34.312	2.0
91	5	5	2	2.59599	34.522	1.0
92	-3	7	1	2.58800	34.632	1.0
93	-5	1	4	2.55234	35.132	1.0
94	-1	5	4	2.55163	35.142	1.0
95	0	8	0	2.51291	35.701	2.0
96	8	0	0	2.48468	36.121	1.0
97	0	3	5	2.48335	36.141	1.0
98	7	4	0	2.47212	36.311	1.0
99	-3	1	5	2.47081	36.331	1.0
100	0	7	3	2.41442	37.210	1.0
101	-5	6	2	2.39827	37.470	1.0
102	-7	1	3	2.39029	37.600	1.0
103	3	5	4	2.38906	37.620	1.0
104	5	3	4	2.37811	37.799	1.0
105	0	7	4	2.17840	41.416	1.0
106	0	10	0	2.01065	45.053	3.0
107	0	8	4	2.00854	45.103	4.0
108	-8	0	4	2.00517	45.183	1.0
109	-8	4	3	2.00056	45.293	1.0
110	10	0	0	1.98769	45.602	5.0
111	8	4	3	1.98399	45.692	1.0
112	8	0	4	1.98276	45.722	2.0
113	-3	4	6	1.95291	46.462	1.0
114	8	2	4	1.94541	46.651	1.0
115	3	4	6	1.94109	46.761	1.0
116	-5	8	3	1.92211	47.251	1.0
117	-3	9	3	1.91487	47.441	1.0
118	5	8	3	1.91297	47.491	1.0
119	3	9	3	1.90919	47.590	1.0
120	-5	3	6	1.87514	48.510	1.0


ICDD 00-047-0675
No.	h	k	l	d [Å]	2θ [°]	I [%]
1				14.30000	6.176	3.0
2				11.42000	7.735	100.0
3				10.65000	8.295	3.0
4				10.25000	8.620	3.0
5				9.88000	8.943	6.0
6				9.37000	9.431	12.0
7				9.00700	9.812	6.0
8				6.74800	13.109	13.0
9				6.29000	14.069	10.0
10				6.00600	14.738	6.0
11				5.70600	15.517	9.0
12				5.53900	15.988	2.0
13				5.33100	16.616	5.0
14				4.49500	19.735	9.0
15				4.40000	20.165	60.0
16				4.26000	20.835	5.0
17				4.17700	21.254	21.0
18				4.05800	21.885	55.0
19				3.88300	22.884	49.0
20				3.86200	23.010	98.0
21				3.53800	25.150	18.0
22				3.37000	26.426	58.0
23				3.35100	26.579	36.0
24				3.14000	28.401	12.0
25				3.08900	28.880	15.0
26				3.01500	29.605	4.0
27				2.94000	30.378	10.0
28				2.84800	31.384	8.0
29				2.79700	31.972	7.0
30				2.69300	33.242	11.0
31				2.53700	35.351	9.0
32				2.52000	35.597	4.0
33				2.47300	36.297	4.0
34				2.44300	36.759	5.0
35				2.40900	37.297	2.0
36				2.34900	38.286	4.0
37				2.24600	40.115	4.0
38				2.15100	41.969	1.0
39				2.13100	42.381	1.0
40				2.06900	43.716	7.0

